Coin,Strategy,Final_USD,CAGR_pct,Vol_pct,Sharpe,Sortino,MaxDD_pct,Calmar,WinRate_pct,Trades,AvgWin_pct,AvgLoss_pct,ProfitFactor
BTC-USD,Buy & Hold,31539.02,33.32,51.45,0.643,0.922,-76.63,0.435,100.0,1,215.39,0.0,0.0
BTC-USD,EMA 9/21 + RSI,26170.15,27.23,34.17,0.657,0.676,-58.79,0.463,34.1,44,20.28,-4.99,4.06
BTC-USD,RSI Mean Reversion,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0
BTC-USD,MACD + BB,15104.28,10.88,26.14,0.402,0.309,-43.89,0.248,51.9,54,7.42,-5.26,1.41
BTC-USD,Supertrend,15793.26,12.12,36.39,0.398,0.437,-60.74,0.2,44.4,18,26.0,-11.99,2.17
BTC-USD,VWAP Reversion,11975.26,4.62,22.39,0.25,0.186,-43.77,0.105,48.9,47,5.41,-3.66,1.48
BTC-USD,SMA 40/100,11336.49,3.19,33.57,0.233,0.228,-61.94,0.052,50.0,8,40.89,-23.07,1.77
ETH-USD,Buy & Hold,45954.84,46.49,66.24,0.729,1.038,-79.35,0.586,100.0,1,359.55,0.0,0.0
ETH-USD,EMA 9/21 + RSI,15050.23,10.78,45.36,0.386,0.359,-57.82,0.186,40.8,49,14.51,-6.59,2.2
ETH-USD,RSI Mean Reversion,10000.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0
ETH-USD,MACD + BB,7597.07,-6.65,33.42,0.026,0.02,-78.14,-0.085,48.1,54,8.78,-7.42,1.18
ETH-USD,Supertrend,36815.63,38.58,46.06,0.722,0.704,-44.33,0.87,56.2,16,32.89,-13.76,2.39
ETH-USD,VWAP Reversion,11128.36,2.71,31.06,0.217,0.136,-37.65,0.072,48.5,33,6.12,-4.24,1.44
ETH-USD,SMA 40/100,5723.9,-13.04,45.91,0.022,0.021,-80.93,-0.161,44.4,9,18.39,-20.0,0.92
