Strategy,Coin,Final $,P&L $,Ret %,CAGR %,Sharpe,MaxDD %,WinRt %,Trades,ProfF
Buy & Hold,BTC-USD,431.6841,331.6841,331.68,56.42,0.975,-49.74,100.0,1,0.0
Supertrend 2x,BTC-USD,182.9068,82.9068,82.91,20.29,0.503,-67.48,50.0,12,2.27
EMA+RSI 2x L/S,BTC-USD,230.7753,130.7753,130.78,29.15,0.598,-60.72,30.2,63,4.51
Supertrend 3x,BTC-USD,127.0483,27.0483,27.05,7.6,0.439,-86.69,50.0,12,2.27
Long Call,BTC-USD,759.2565,659.2565,659.26,88.91,3.799,-48.07,46.2,39,1.7
Covered Call,BTC-USD,195.8761,95.8761,95.88,23.49,3.031,-39.6,61.5,39,0.87
Protective Put,BTC-USD,266.5067,166.5067,166.51,36.01,3.778,-31.26,51.3,39,1.51
Long Straddle,BTC-USD,290.5715,190.5715,190.57,39.75,3.77,-13.0,53.8,39,1.64
Iron Condor,BTC-USD,67.1628,-32.8372,-32.84,-11.74,-3.353,-43.95,43.6,39,0.8
Buy & Hold,ETH-USD,182.2821,82.2821,82.28,20.16,0.502,-63.79,100.0,1,0.0
Supertrend 2x,ETH-USD,160.0886,60.0886,60.09,15.48,0.467,-69.45,41.7,12,3.57
EMA+RSI 2x L/S,ETH-USD,10.7192,-89.2808,-89.28,-49.5,-0.068,-96.78,27.1,59,3.05
Supertrend 3x,ETH-USD,105.3219,5.3219,5.32,1.6,0.45,-84.28,41.7,12,3.57
Long Call,ETH-USD,228.9821,128.9821,128.98,29.69,1.698,-50.1,28.2,39,3.15
Covered Call,ETH-USD,89.1943,-10.8057,-10.81,-3.52,-0.364,-60.99,61.5,39,0.6
Protective Put,ETH-USD,156.4561,56.4561,56.46,15.08,1.37,-41.69,35.9,39,2.13
Long Straddle,ETH-USD,163.4122,63.4122,63.41,16.66,1.844,-30.4,46.2,39,1.6
Iron Condor,ETH-USD,108.4747,8.4747,8.47,2.59,0.681,-26.41,46.2,39,1.28
